date,value
2020-01-01,289
2020-01-08,346
2020-01-15,350
2020-01-22,266
2020-01-29,287
2020-02-05,343
2020-02-12,372
2020-02-19,390
2020-02-26,405
2020-03-04,376
2020-03-11,386
2020-03-18,401
2020-03-25,330
2020-04-01,299
2020-04-08,305
2020-04-15,302
2020-04-22,331
2020-04-29,294
2020-05-06,287
2020-05-13,316
2020-05-20,334
2020-05-27,323
2020-06-03,321
2020-06-10,338
2020-06-17,310
2020-06-24,290
2020-07-01,333
2020-07-08,342
2020-07-15,324
2020-07-22,401
2020-07-29,360
2020-08-05,321
2020-08-12,324
2020-08-19,324
2020-08-26,329
2020-09-02,304
2020-09-09,321
2020-09-16,339
2020-09-23,327
2020-09-30,277
2020-10-07,295
2020-10-14,313
2020-10-21,308
2020-10-28,309
2020-11-04,286
2020-11-11,307
2020-11-18,326
2020-11-25,315
2020-12-02,304
2020-12-09,314
2020-12-16,308
2020-12-23,277
2020-12-30,249
2021-01-06,290
2021-01-13,306
2021-01-20,297
2021-01-27,309
2021-02-03,314
2021-02-10,243
2021-02-17,312
2021-02-24,359
2021-03-03,390
2021-03-10,388
2021-03-17,391
2021-03-24,357
2021-03-31,323
2021-04-07,304
2021-04-14,351
2021-04-21,360
2021-04-28,326
2021-05-05,318
2021-05-12,331
2021-05-19,374
2021-05-26,324
2021-06-02,324
2021-06-09,313
2021-06-16,324
2021-06-23,485
2021-06-30,417
2021-07-07,332
2021-07-14,334
2021-07-21,331
2021-07-28,287
2021-08-04,307
2021-08-11,303
2021-08-18,327
2021-08-25,292
2021-09-01,302
2021-09-08,333
2021-09-15,303
2021-09-22,279
2021-09-29,283
2021-10-06,274
2021-10-13,298
2021-10-20,319
2021-10-27,291
2021-11-03,295
2021-11-10,307
2021-11-17,333
2021-11-24,356
2021-12-01,347
2021-12-08,318
2021-12-15,339
2021-12-22,281
2021-12-29,260
2022-01-05,400
2022-01-12,325
2022-01-19,329
2022-01-26,287
2022-02-02,232
2022-02-09,360
2022-02-16,357
2022-02-23,412
2022-03-02,386
2022-03-09,365
2022-03-16,416
2022-03-23,393
2022-03-30,396
2022-04-06,380
2022-04-13,380
2022-04-20,374
2022-04-27,352
2022-05-04,342
2022-05-11,363
2022-05-18,342
2022-05-25,363
2022-06-01,329
2022-06-08,386
2022-06-15,537
2022-06-22,502
2022-06-29,615
2022-07-06,400
2022-07-13,366
2022-07-20,409
2022-07-27,411
2022-08-03,348
2022-08-10,387
2022-08-17,366
2022-08-24,393
2022-08-31,384
2022-09-07,369
2022-09-14,388
2022-09-21,424
2022-09-28,371
2022-10-05,356
2022-10-12,412
2022-10-19,388
2022-10-26,402
2022-11-02,386
2022-11-09,379
2022-11-16,406
2022-11-23,424
2022-11-30,385
2022-12-07,390
2022-12-14,340
2022-12-21,336
2022-12-28,296
2023-01-04,306
2023-01-11,323
2023-01-18,283
2023-01-25,299
2023-02-01,364
2023-02-08,371
2023-02-15,425
2023-02-22,414
2023-03-01,457
2023-03-08,414
2023-03-15,433
2023-03-22,444
2023-03-29,418
2023-04-05,411
2023-04-12,389
2023-04-19,411
2023-04-26,382
2023-05-03,363
2023-05-10,383
2023-05-17,398
2023-05-24,378
2023-05-31,377
2023-06-07,393
2023-06-14,405
2023-06-21,438
2023-06-28,642
2023-07-05,407
2023-07-12,406
2023-07-19,418
2023-07-26,415
2023-08-02,392
2023-08-09,369
2023-08-16,364
2023-08-23,349
2023-08-30,878
2023-09-06,542
2023-09-13,451
2023-09-20,704
2023-09-27,489
2023-10-04,518
2023-10-11,595
2023-10-18,521
2023-10-25,421
2023-11-01,394
2023-11-08,397
2023-11-15,441
2023-11-22,430
2023-11-29,386
2023-12-06,355
2023-12-13,325
2023-12-20,342
2023-12-27,306
2024-01-03,297
2024-01-10,320
2024-01-17,310
2024-01-24,314
2024-01-31,296
2024-02-07,270
2024-02-14,281
2024-02-21,357
2024-02-28,437
2024-03-06,371
2024-03-13,387
2024-03-20,365
2024-03-27,334
2024-04-03,323
2024-04-10,364
2024-04-17,343
2024-04-24,324
2024-05-01,279
2024-05-08,355
2024-05-15,349
2024-05-22,338
2024-05-29,329
2024-06-05,354
2024-06-12,300
2024-06-19,331
2024-06-26,477
2024-07-03,409
2024-07-10,338
2024-07-17,359
2024-07-24,358
2024-07-31,333
2024-08-07,299
2024-08-14,310
2024-08-21,307
2024-08-28,328
2024-09-04,347
2024-09-11,355
2024-09-18,292
2024-09-25,345
2024-10-02,251
2024-10-09,353
2024-10-16,330
2024-10-23,343
2024-10-30,341
2024-11-06,304
2024-11-13,304
2024-11-20,313
2024-11-27,313
2024-12-04,297
2024-12-11,303
2024-12-18,297
2024-12-25,280


